year,country_origin_id,import_val,import_val_pct
2014,CMR,3627608,0.0050
2014,EGY,3108124.8,0.0043
2014,ETH,401753840,0.55
2014,GAB,40654125,0.056
2014,GHA,1649423390,2.3
2014,GIN,44745379.98,0.061
2014,MAR,18934505.16,0.026
2014,MLI,282650277,0.39
2014,MOZ,18920167,0.026
2014,MRT,659372978,0.90
2014,NER,23518904,0.032
2014,NGA,2980735,0.0041
2014,SDN,1309616,0.0018
2014,SEN,270710528.27,0.37
2014,SYC,41165,0.000056
2014,TGO,254392710.56,0.35
2014,TZA,131403230.87,0.18
2014,ZAF,1683367519,2.3
2014,ZMB,1409545,0.0019
2014,ARE,2619906146.61,3.6
2014,ARM,727524,0.0010
2014,AZE,74799434,0.10
2014,CHN,908039,0.0012
2014,HKG,471584702.26,0.65
2014,IDN,10297662,0.014
2014,IND,12442021,0.017
2014,ISR,37487002.49,0.051
2014,JOR,1010162.99,0.0014
2014,JPN,320331279.58,0.44
2014,KAZ,21361412.67,0.029
2014,KGZ,423161840,0.58
2014,KOR,13467691.3,0.018
2014,LBN,71928854.95,0.098
2014,LKA,61021596,0.083
2014,MNG,441929073,0.60
2014,MYS,53273621,0.073
2014,PHL,409683263,0.56
2014,SAU,26955794.62,0.037
2014,SGP,249271682.31,0.34
2014,THA,916974684.49,1.3
2014,TJK,120899643,0.17
2014,TUR,2183213482.2,3.0
2014,UZB,1332852453,1.8
2014,VNM,3548942.19,0.0049
2014,XXB,31870,0.000044
2014,AND,313066,0.00043
2014,AUT,103183024.06,0.14
2014,BGR,2409087.61,0.0033
2014,BLR,7542046,0.010
2014,BLX,797718696.3,1.1
2014,CZE,29341965.96,0.040
2014,DEU,2810582753.47,3.8
2014,ESP,300920343.86,0.41
2014,EST,251242,0.00034
2014,FIN,395957995.27,0.54
2014,FRA,1586001842.78,2.2
2014,GBR,26164765416,36
2014,GRC,216317.33,0.00030
2014,HUN,17685086.38,0.024
2014,IRL,965552.56,0.0013
2014,ITA,2816593177.21,3.9
2014,NLD,1696480,0.0023
2014,NOR,87826746.89,0.12
2014,POL,79018091,0.11
2014,PRT,552131,0.00076
2014,ROU,2097267,0.0029
2014,RUS,2404187660.36,3.3
2014,SVN,276116.46,0.00038
2014,SWE,409806335.86,0.56
2014,UKR,124443673.24,0.17
2014,CAN,832047240.34,1.1
2014,CUB,2001143,0.0027
2014,CUW,497754369,0.68
2014,DOM,226289711.7,0.31
2014,MEX,645606925.74,0.88
2014,PAN,53784064.49,0.074
2014,USA,7895032523.27,11
2014,AUS,247997252.67,0.34
2014,NZL,115541,0.00016
2014,ARG,476188947.48,0.65
2014,BOL,31133316.57,0.043
2014,BRA,1140239092.36,1.6
2014,CHL,787739888.57,1.1
2014,COL,590005432.46,0.81
2014,ECU,62561874.76,0.086
2014,PER,2784538221.7,3.8
2014,SUR,432099337,0.59
2014,URY,71436759.46,0.098
2014,VEN,491443204,0.67
2013,BEN,3981823,0.0096
2013,BFA,1331667430,3.2
2013,CAF,31349,0.000076
2013,CIV,247083937,0.60
2013,EGY,68112163,0.16
2013,ETH,157354716,0.38
2013,GHA,1149858730,2.8
2013,MAR,18730715,0.045
2013,MRT,326862563,0.79
2013,NER,54881851,0.13
2013,SEN,177459,0.00043
2013,TGO,23812595,0.058
2013,TZA,382712271,0.93
2013,ARE,2643559,0.0064
2013,HKG,131435840,0.32
2013,IND,1720028,0.0042
2013,ISR,32045366,0.078
2013,JOR,7841903,0.019
2013,JPN,106446993.74,0.26
2013,KAZ,394042290.16,0.95
2013,KGZ,510689622,1.2
2013,KOR,6072962,0.015
2013,LBN,160283112,0.39
2013,LKA,28088447,0.068
2013,MYS,10104,0.000024
2013,PHL,194991023,0.47
2013,SAU,99789181,0.24
2013,SGP,61867426.36,0.15
2013,THA,608138164,1.5
2013,TUR,225664789,0.55
2013,VNM,74095670,0.18
2013,XXB,9198,0.000022
2013,AUT,68651341.65,0.17
2013,BGR,11043262,0.027
2013,BLX,9770282.18,0.024
2013,CZE,13192180.74,0.032
2013,DEU,3569608918.52,8.6
2013,DNK,18585,0.000045
2013,ESP,283767628.1,0.69
2013,EST,1270921,0.0031
2013,FIN,506860.57,0.0012
2013,FRA,140897501.66,0.34
2013,GBR,1734622927,4.2
2013,GRC,5323959,0.013
2013,HUN,22139098,0.054
2013,IRL,3791044,0.0092
2013,ITA,4499343957.99,11
2013,LVA,44632,0.00011
2013,NLD,394440.42,0.00096
2013,NOR,130510294,0.32
2013,POL,23162673,0.056
2013,RUS,3047960274,7.4
2013,SWE,612367461.95,1.5
2013,UKR,1749934.78,0.0042
2013,CAN,1056312646.37,2.6
2013,GRL,12113348,0.029
2013,MEX,749188142,1.8
2013,USA,12703369048,31
2013,AUS,286171168.5,0.69
2013,NZL,1649,0.0000040
2013,ARG,452216032,1.1
2013,BOL,54514863,0.13
2013,BRA,947963636,2.3
2013,CHL,835031737,2.0
2013,COL,432952188,1.0
2013,ECU,79449806,0.19
2013,PER,3008376008,7.3
2013,PRY,620677,0.0015
2013,URY,92243151,0.22
2012,BEN,1780480,0.0035
2012,CAF,918235,0.0018
2012,CIV,265954342,0.52
2012,CMR,54944,0.00011
2012,EGY,320726947,0.63
2012,ETH,174828045,0.34
2012,GHA,1206175749,2.4
2012,GNQ,25885,0.000050
2012,MAR,25181680,0.049
2012,MLI,301269713,0.59
2012,MRT,281266258,0.55
2012,MUS,351914,0.00069
2012,SEN,319167937,0.62
2012,TGO,25459759,0.050
2012,TZA,763667269,1.5
2012,UGA,200000,0.00039
2012,ARE,1573504,0.0031
2012,CHN,4904,0.0000096
2012,HKG,437170302,0.85
2012,ISR,63664463,0.12
2012,JOR,26277597,0.051
2012,JPN,283733833.44,0.55
2012,KAZ,830917498.69,1.6
2012,KGZ,544731155,1.1
2012,KOR,6162482,0.012
2012,LBN,533243358,1.0
2012,LKA,13871873,0.027
2012,MYS,102019.75,0.00020
2012,PHL,319382998,0.62
2012,SGP,28725834.06,0.056
2012,THA,4159210080,8.1
2012,TUR,1176724388,2.3
2012,AUT,39767348.29,0.078
2012,BGR,17564388,0.034
2012,BLX,626625312.25,1.2
2012,CZE,14568132,0.028
